cell_no,calibration_group
6245,6245
6251,6251
6252,6252
6253,6253
6254,6254
6255,6255
6261,6260
6262,6260
6263,6260
6264,6264
6265,6265
6271,6271
6272,6272
6273,6273
6274,6274
6275,6275
6281,6281
6282,6282
6283,6283
6284,6284
6285,6285
6291,6290
6292,6290
6293,6290
6294,6294
6295,6295
6301,6301
6302,6302
6303,6303
6304,6304
6305,6305
6311,6310
6312,6310
6313,6310
6314,6314
6315,6315
6321,6321
6322,6322
6323,6323
6324,6324
6325,6325
6341,6340
6342,6340
6343,6340
6344,6344
6345,6345
6361,6361
6362,6362
6363,6363
6364,6364
6365,6365
6371,6371
6372,6372
6373,6373
6374,6374
6375,6375
6381,6380
6382,6380
6383,6380
6384,6384
6385,6385
6391,6391
6392,6392
6393,6393
6394,6394
6395,6395
6401,6401
6402,6402
6403,6403
6404,6404
6405,6405
6411,6411
6412,6412
6413,6413
6414,6414
6415,6415
6421,6421
6422,6422
6423,6423
6424,6424
6425,6425
6451,6451
6452,6452
6453,6453
6454,6454
6455,6455
6461,6461
6462,6462
6463,6463
6464,6464
6465,6465
6471,6470
6472,6470
6473,6470
6474,6474
6475,6475
6481,6480
6482,6480
6483,6480
6484,6484
6485,6485
6511,6511
6512,6512
6513,6513
6514,6514
6515,6515
6521,6520
6522,6520
6523,6520
6524,6524
6525,6525
6531,6531
6532,6532
6533,6533
6534,6534
6535,6535
6541,6540
6542,6540
6543,6540
6544,6544
6545,6545
8121,8121
8122,8122
8123,8123
8124,8124
8125,8125
